Feature1,Feature2,Feature3
1.351229945905575,4.46398788362281,5.938166324743945
0.2137820286625235,3.3119890406724055,6.142617392627731
2.116672090781977,3.041168988591605,6.343207244536009
0.5892571323889844,3.3668090197068676,5.765136922283841
1.1710931630156436,3.8638900372842313,5.144355062587547
1.5773138532070834,3.278987721304084,5.318501936010126
0.357930018718306,3.912139968434072,5.368398583787945
0.5548939865433251,4.028468876827223,6.2673087191119015
0.615063283927435,4.215089703802876,6.049606090166316
0.5755564321567763,3.1953442280127677,6.423707968890104
1.5745291742078091,4.244076469689558,7.828363986760376
1.622653312030888,5.818640804157564,6.997527864816387
2.5816270851786576,4.623422152178822,6.454022121753167
3.9645639919407527,4.369708911051054,7.533811912827874
2.5221747263943928,4.176985004103839,7.076638225185614
1.28646891126413,4.542698063547792,6.2919293020298905
1.6742792013768972,4.561869019374761,7.472759431670281
1.2005787988735843,5.604393961508079,7.0601184239391195
1.5213438632492944,4.011044234247205,7.273549952414595
2.4116229756248546,5.458014336081975,7.3970131805142945
2.406583598438693,,7.861716021622494
1.9335745818921761,,8.491777077821384
2.2177030376164946,,7.465040134684017
3.5902895018413026,,8.132626282972204
3.2557152856325304,,7.711493675014992
4.0574317010325425,,8.15123925363461
1.1475604719178838,,8.367565974132063
1.9967919299184949,,8.466216424468929
2.8446685184740446,,8.159705597104004
2.4419100836697396,,8.33259779722922
,,8.77560742847113
,,9.517956817317794
,,9.229540174215659
,,9.078509819791401
,,8.853465033310778
,,8.869434796364258
,,8.895089444625272
,,8.870694066826522
,,9.180697036440868
,,9.627869435449409
